priority,id,year,brand,title,category,description,price,style,saves,siteURL,imageURL
1,2023JAC1,2023,JACQUEMUS,La maille Pavane,tops,Jacquard logo sweater.,730,city,0,https://www.jacquemus.com/en_fr/la-maille-pavane/236KN284-2329-390.html?cgid=View_all_rtw_men,https://www.jacquemus.com/dw/image/v2/BJFJ_PRD/on/demandware.static/-/Sites-master-jacquemus/default/dwab54b790/23H236KN284-2329-390_1.jpg?q=100
2,2023JAC2,2023,JACQUEMUS,Les derbies Pavane,shoes,Grosgrain logo derbies.,800,city,0,https://www.jacquemus.com/en_fr/les-derbies-pavane/236FO121-4015-990.html?cgid=Shoes_men,https://www.jacquemus.com/dw/image/v2/BJFJ_PRD/on/demandware.static/-/Sites-master-jacquemus/default/dw2cb28a29/23H236FO121-4015-990_13.jpg?q=100
3,2023RVC3,2023,RVCA,VA Sport Trainer Elastic Waist Shorts,shorts,"Enhanced comfort for optimal performance. Made of performance nylon-blend fabric, these VA Sport trainer shorts are complete with an elasticized waistband with an internal drawcord, side pockets, and VA logo branding at the leg.",60,surf,0,https://www.rvca.com/va-sport-trainer-elastic-waist-shorts-AVYWS00260.html,"https://images.boardriders.com/globalGrey/rvca-products/all/default/hi-res/avyws00260_rvca,f_gzg0_bck1.jpg"
4,2023Cal4,2023,California Arts,Canyon Americana-Fit Denim Jacket | Ice Blue,tops,"A classic denim trucker jacket inspired by off-duty model uniforms in the 90's. With a straight, boxy cut and a slight crop and taper into the waist, the silhouette is effortless, rugged and boyish. An everyday layer for the California cowboy.",168,city,0,https://california-arts.com/collections/shop-all/products/canyonjacket_ice?variant=46680828313880,https://california-arts.com/cdn/shop/files/CARBFALL23ECOMM-344-Edit.jpg?v=1694490701
5,2023Cal5,2023,California Arts,Palos Oversized Crew-Neck Sweater | Navy,tops,"Tailored for an oversized, relaxed fit with dropped shoulders, exaggerated ribbed edges and extra long sleeves. Made with cash-wool™, a cozy 100% heavyweight wool woven to mimic the natural softness of cashmere. A reimagined wardrobe staple that combines considered proportions with luxurious craftsmanship.",168,city,0,https://california-arts.com/collections/shop-all/products/paloscrewneck_navy?variant=46618925760792,https://california-arts.com/cdn/shop/files/CARBFALL23ECOMM-553-Edit.jpg?v=1693766102
6,2023COS6,2023,COS,PADDED MAGNETIC-COLLAR JACKET,tops,"A modern reinterpretation of a COS classic, this recycled nylon-blend jacket is the ideal piece to take you into the colder months. The recycled down and feathers, double fastening and ribbed cuffs will ensure you stay warm and dry in unpredictable forecasts. Unlike traditional puffers, the quilting is concealed inside and the padded neckline closes with a magnet.",350,city,0,https://www.cos.com/en_usd/men/menswear/coats-and-jackets/product.padded-magnetic-collar-jacket-green.1177770004.html,"https://lp.cosstores.com/app001prod?set=source[/fe/74/fe74935f84d2fe061c82f03c2c200ac6523407f0.jpg],origin[dam],type[LOOKBOOK],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]&zoom=zoom"
7,2023COS7,2023,COS,RIBBED WOOL AND CASHMERE CARDIGAN,tops,"The layering possibilities are endless with this cardigan from the COS Autumn Winter collection. Offered in a versatile cream hue, it's knitted in a chunky half-cardigan stitch from RWS-certified wool and blended with premium cashmere for additional warmth and a supremely soft hand feel. It's shaped in a relaxed cut and has dropped shoulders and a classic V-neck.",250,surf,0,https://www.cos.com/en_usd/men/menswear/knitwear/product.ribbed-wool-and-cashmere-cardigan-white.1204234001.html,"https://lp.cosstores.com/app001prod?set=source[/2c/52/2c526dd8eee20d5ea4ccd5743337d0755c6b6e31.jpg],origin[dam],type[LOOKBOOK],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]&zoom=zoom"
8,2023COS8,2023,COS,RIBBED WOOL AND CASHMERE-BLEND POLO SHIRT,tops,"The COS menswear team know a thing or two about designing quality winter knits. Crafted from heavyweight traceable wool with a touch of supremely soft cashmere, this rib-knitted polo shirt is shaped for a relaxed fit and designed with a flat collar, buttoned half-placket and ribbed trims. Wear it with jeans and a pair of Derby shoes.",135,surf,0,https://www.cos.com/en_usd/men/menswear/knitwear/product.ribbed-wool-and-cashmere-blend-polo-shirt-black.1195601003.html,"https://lp.cosstores.com/app001prod?set=source[/78/25/7825931e6389472fc3512cf3f8b41fcb06688adf.jpg],origin[dam],type[LOOKBOOK],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]"
9,2023COS9,2023,COS,PADDED TEDDY JACKET,tops,"The COS menswear team have refined the classic teddy jacket for the new season. Designed to tackle the cooler months ahead, it's crafted from an RWS-certified wool blend and has a padded lining that's quilted for even heat distribution. It's offered in versatile black and has dropped shoulders, a pair of flapped pockets and a classic collar that can be worn two ways thanks to the concealed button underneath.",390,city,0,https://www.cos.com/en_usd/men/menswear/coats-and-jackets/product.padded-teddy-jacket-black.1203771001.html,"https://lp.cosstores.com/app001prod?set=source[/b8/44/b844eefe7efe6dd0777ad4ed705413d248e5c59e.jpg],origin[dam],type[LOOKBOOK],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]"
10,2023COS10,2023,COS,STRIPED KNITTED JUMPER,tops,"Engineered from pure organic cotton, this modern jumper is knitted with dark-navy and white block stripes that will complement jeans and chinos alike. It has a classic crew neck, long sleeves and ribbed trims to neaten the shape up a little.",99,city,0,https://www.cos.com/en_usd/men/menswear/knitwear/product.striped-knitted-jumper-blue.1188197001.html,"https://lp.cosstores.com/app001prod?set=source[/7e/29/7e29177904e3ea68cb7bfb17e1ecdad6293988e9.jpg],origin[dam],type[DESCRIPTIVESTILLLIFE],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]&zoom=zoom"
